Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C20, C3, C30, C31, C32, C33, C34, C36, C37, C38, C39, C40, C41, C44, C45, C46, C47, C48, C49, C5, C50, C51, C54, C55, C56, C57",0603,28,100n,
"C10, C11, C12, C13, C14, C29, C58, C59, C7, C8",0603,10,10u,
"C16, C17, C2, C4",1206,4,10u,
C19,0603,1,2u2,
"C21, C6, C9",0603,3,100p,
"C22, C23, C24, C26, C27",1206,5,22u,
"C25, C35",0603,2,20p,
"C42, C43, C52, C53",1206,4,1nF 1kV,
D1,0603,1,PG,
"D10, D4, D6, D8",0603,4,Y,
D11,D_SMA,1,SMAJ28A,
D2,D_SMA,1,SMAJ17A,
"D3, D5, D7, D9",0603,4,G,
F1,1206,1,8A,
"FB1, FB2",0603,2,30R 2A,
"J1, J2",JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,2,PH2.0_1000M,
"J3, J4",JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,2,PH2.0_100M,
J5,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02,
L1,L_Sunlord_MWSA0402S,1,2u2,
L2,L_Sunlord_MWSA0402S,1,4u7,
L3,L_Sunlord_MWSA0603S,1,15uH,
R1,0603,1,8k2,
"R10, R11, R12, R13, R16",0603,5,2k2,
"R14, R2, R4",0603,3,10k,
"R15, R17, R18, R19, R20, R21, R22, R23",0603,8,4k7,
"R24, R25, R26, R27, R28, R29, R30, R31",0603,8,470R,
R3,0603,1,31k6,
"R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43",0603,12,75R,
R6,0603,1,100k,
R7,0603,1,6k2,
R8,0603,1,2k49,
R9,0603,1,NC,
"TR1, TR2, TR3",Transformer_Ethernet_YDS_30F-51NL_SO-24_7.1x15.1mm,3,G2406S,
U1,QFN-88_10x10_RTL8367N,1,RTL8367N-VB-CG,
U2,SOT-23-5,1,RY3430,
U3,SOT-23-6,1,RY8411,
U4,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR33630ADDA,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,25Mhz_2016,
